DBN,School Name,Rigorous Instruction Rating,Rigorous Instruction - Element Score,How Interesting And Challenging Is The Curriculum,How Effective Is The Teaching And Learning,How Well Does The School Assess What Students Are Learning,Rigorous Instruction - Overall Positive Responses,Rigorous Instruction - City Positive Responses,Rigorous Instruction - Borough Positive Responses,Collaborative Teachers Rating,Collaborative Teachers - Element Score,Quality Review - How well do teachers work with each other,Collaborative Teachers - Overall Positive Responses,Collaborative Teachers - City Positive Responses,Collaborative Teachers - Borough Positive Responses,Supportive Environment Rating,Supportive Environment - Element Score,Quality Review - How clearly are high expectations communicated to students and staff,Supportive Environment - Overall Positive Responses,Supportive Environment - City Positive Responses,Supportive Environment - Borough Positive Responses,Metric Rating - Least Restrictive Environment,% of Enrollment - Least Restrictive Environment,Population % of Range - Least Restrictive Environment,Metric Value - Least Restrictive Environment,Metric Score - Least Restrictive Environment,Metric Value - Percentage of Students with 90%+ Attendance,Metric Score - Percentage of Students with 90%+ Attendance,Effective School Leadership Rating,Effective School Leadership - Element Score,Effective School Leadership - Overall Positive Responses,Effective School Leadership - City Positive Responses,Effective School Leadership - Borough Positive Responses,Strong Family-Community Ties Rating,Strong Family-Community Ties - Element Score,Strong Family-Community Ties Overall - Positive Responses,Strong Family-Community Ties - City Positive Responses,Strong Family-Community Ties - Borough Positive Responses,Trust Rating,Trust - Element Score,Trust - Overall Positive Responses,Trust - City Positive Responses,Trust - Borough Positive Responses,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,Quality Review - Principal at Time of Review,Quality Review - Dates Of Review
07X500,Hostos-Lincoln Academy of Science,Meeting Target,3.23,Proficient,Developing,Proficient,83%,79%,79%,Meeting Target,3.70,Proficient,85%,80%,81%,Meeting Target,3.78,Well Developed,75%,70%,71%,Approaching Target,0.19,0.58,0.46,2.33,73.7%,4.33,Meeting Target,3.59,88%,83%,85%,Meeting Target,3.58,89%,90%,88%,Meeting Target,3.89,91%,87%,88%,83%,70%,30%,NICHOLAS PAARLBERG,February 2017
07X522,Bronx Design and Construction Academy,Approaching Target,2.70,Proficient,Developing,Proficient,67%,79%,79%,Approaching Target,2.31,Proficient,53%,80%,81%,Approaching Target,2.80,Proficient,58%,72%,71%,Approaching Target,0.27,0.82,0.81,2.33,50.6%,3.19,Not Meeting Target,1.72,63%,84%,85%,Meeting Target,3.47,87%,87%,88%,Approaching Target,2.37,72%,87%,88%,71%,77%,21%,Abigail Lovett,3-Mar-16
07X527,Bronx Leadership Academy II High School,Meeting Target,3.11,Proficient,Proficient,Developing,78%,79%,79%,Meeting Target,3.90,Well Developed,74%,80%,81%,Meeting Target,3.90,Well Developed,73%,72%,71%,Approaching Target,0.28,0.85,0.58,2.25,51.4%,3.57,Meeting Target,3.32,78%,84%,85%,Meeting Target,3.87,89%,87%,88%,Meeting Target,3.70,87%,87%,88%,78%,84%,29%,R LOBIANCO,November 2017
07X548,Careers in Sports High School,Meeting Target,3.39,Proficient,Proficient,Proficient,77%,79%,79%,Meeting Target,3.98,Well Developed,85%,80%,81%,Meeting Target,3.56,Proficient,75%,72%,71%,Exceeding Target,0.22,0.67,0.82,4.03,47.8%,2.68,Meeting Target,3.91,89%,84%,85%,Approaching Target,2.65,82%,87%,88%,Meeting Target,3.64,90%,87%,88%,62%,87%,18%,Johanny Garcia,March 2017
07X551,The Urban Assembly Bronx Academy of Letters,Exceeding Target,4.42,Well Developed,Well Developed,Well Developed,74%,79%,79%,Meeting Target,3.68,Proficient,86%,80%,81%,Meeting Target,3.23,Well Developed,68%,70%,71%,Not Meeting Target,0.28,0.87,0.53,1.44,37.8%,1.88,Meeting Target,3.91,90%,83%,85%,Meeting Target,3.30,87%,90%,88%,Meeting Target,3.88,91%,87%,88%,43%,89%,11%,BRANDON CARDET HERNANDE,May 2017
07X600,Alfred E. Smith Career and Technical Education Hig,Approaching Target,2.26,Developing,Developing,Developing,76%,79%,79%,Approaching Target,2.89,Developing,76%,80%,81%,Approaching Target,2.98,Proficient,66%,72%,71%,Approaching Target,0.26,0.80,0.68,2.83,50.3%,2.88,Meeting Target,3.12,81%,84%,85%,Meeting Target,3.64,89%,87%,88%,Meeting Target,3.11,83%,87%,88%,86%,40%,31%,Evan Schwartz,May 2017
07X670,Health Opportunities High School,Approaching Target,2.14,Developing,Developing,Developing,74%,79%,79%,Approaching Target,2.50,Developing,76%,80%,81%,Meeting Target,3.16,Proficient,66%,72%,71%,Meeting Target,0.21,0.63,0.81,3.63,47.1%,3.17,Approaching Target,2.26,70%,84%,85%,Not Meeting Target,1.63,76%,87%,88%,Not Meeting Target,1.99,77%,87%,88%,79%,100%,75%,,April-19
08X269,Bronx Studio School for Writers and Artists,Approaching Target,2.60,Proficient,Developing,Developing,74%,79%,79%,Approaching Target,2.37,Proficient,59%,80%,81%,Meeting Target,3.29,Proficient,62%,70%,71%,Exceeding Target,0.24,0.72,0.80,4.33,52.9%,3.25,Approaching Target,2.74,62%,83%,85%,Approaching Target,2.52,85%,90%,88%,Approaching Target,2.91,80%,87%,88%,80%,84%,59%,DAVID VAZQUEZ,March 2017
08X282,Women's Academy of Excellence,Meeting Target,3.31,Proficient,Proficient,Proficient,75%,79%,79%,Meeting Target,3.51,Proficient,87%,80%,81%,Approaching Target,2.43,Developing,63%,72%,71%,Approaching Target,0.20,0.59,0.57,2.92,41.7%,2.31,Meeting Target,3.31,83%,84%,85%,Approaching Target,2.14,81%,87%,88%,Approaching Target,2.39,82%,87%,88%,87%,95%,70%,ARNETTE CROCKER,October 2016
08X293,Renaissance High School for Musical Theater and th,Meeting Target,3.97,Well Developed,Proficient,Proficient,82%,79%,79%,Exceeding Target,4.71,Well Developed,94%,80%,81%,Meeting Target,3.65,Well Developed,74%,72%,71%,Exceeding Target,0.26,0.79,0.80,4.20,48.8%,2.23,Exceeding Target,4.45,95%,84%,85%,Meeting Target,3.94,89%,87%,88%,Exceeding Target,4.27,94%,87%,88%,92%,100%,50%,,March-19
08X312,Millennium Art Academy,Approaching Target,2.13,Developing,Developing,Developing,72%,79%,79%,Meeting Target,3.12,Developing,82%,80%,81%,Meeting Target,3.00,Proficient,68%,72%,71%,Meeting Target,0.25,0.78,0.55,3.38,49.2%,2.48,Approaching Target,2.92,84%,84%,85%,Meeting Target,3.13,84%,87%,88%,Meeting Target,3.51,87%,87%,88%,79%,94%,35%,HERMAN GUY,March 2017
08X320,Pelham Lab High School,Meeting Target,3.01,Proficient,Developing,Proficient,76%,79%,79%,Meeting Target,3.35,Proficient,79%,80%,81%,Approaching Target,2.62,Proficient,63%,72%,71%,Meeting Target,0.22,0.66,0.78,3.25,42.9%,1.92,Meeting Target,3.52,84%,84%,85%,Meeting Target,3.95,91%,87%,88%,Meeting Target,3.52,88%,87%,88%,55%,93%,30%,Jason Wagner,December 2017
08X348,Schuylerville Preparatory High School,Approaching Target,2.41,Proficient,Developing,Developing,69%,79%,79%,Meeting Target,3.37,Proficient,79%,80%,81%,Approaching Target,2.46,Proficient,59%,72%,71%,Meeting Target,0.24,0.73,0.59,3.63,46.2%,2.04,Meeting Target,3.50,84%,84%,85%,Meeting Target,3.79,90%,87%,88%,Meeting Target,3.64,88%,87%,88%,83%,100%,19%,Melissa Ramos,January 2017
08X349,Bronx River High School,Meeting Target,3.43,Proficient,Proficient,Proficient,76%,79%,79%,Meeting Target,3.85,Well Developed,75%,80%,81%,Approaching Target,2.94,Well Developed,65%,72%,71%,Approaching Target,0.25,0.76,0.78,2.75,44.1%,2.06,Meeting Target,3.85,86%,84%,85%,Meeting Target,3.15,84%,87%,88%,Approaching Target,2.98,83%,87%,88%,84%,100%,52%,Gregory Fucheck,February 2018
08X367,"Archimedes Academy for Math, Science and Technolog",Meeting Target,3.23,Proficient,Proficient,Proficient,73%,79%,79%,Approaching Target,2.57,Developing,71%,80%,81%,Approaching Target,2.92,Proficient,63%,70%,71%,Not Meeting Target,0.26,0.81,0.47,1.00,48.8%,2.83,Meeting Target,3.06,74%,83%,85%,Approaching Target,2.23,84%,90%,88%,Approaching Target,2.61,81%,87%,88%,80%,92%,24%,MIRIAM LAZAR,February 2017
08X376,Antonia Pantoja Preparatory Academy: A College Boa,Approaching Target,2.15,Developing,Developing,Developing,73%,79%,79%,Approaching Target,2.45,Developing,69%,80%,81%,Approaching Target,2.55,Proficient,60%,70%,71%,Approaching Target,0.29,0.89,0.70,2.42,42.3%,2.54,Approaching Target,2.95,78%,83%,85%,Approaching Target,2.79,86%,90%,88%,Meeting Target,3.14,84%,87%,88%,86%,81%,31%,Nalini Singh,March 2017
08X405,Herbert H. Lehman High School,Meeting Target,3.10,Proficient,Developing,Proficient,79%,79%,79%,Meeting Target,3.23,Proficient,75%,80%,81%,Approaching Target,2.85,Proficient,63%,72%,71%,Not Meeting Target,0.25,0.75,0.64,1.39,56.4%,2.96,Meeting Target,3.14,75%,84%,85%,Approaching Target,2.73,83%,87%,88%,Meeting Target,3.22,84%,87%,88%,66%,79%,30%,John Powers,April 2018
08X432,Bronx Bridges High School,Approaching Target,2.69,Developing,Developing,Proficient,80%,79%,79%,Meeting Target,3.62,Proficient,86%,80%,81%,Meeting Target,3.67,Well Developed,78%,72%,71%,Meeting Target,0.09,0.25,0.80,3.75,44.3%,2.09,Meeting Target,3.92,88%,84%,85%,Exceeding Target,4.03,90%,87%,88%,Meeting Target,3.94,90%,87%,88%,92%,97%,69%,Nelsie M. Castillo,"January 8, 2015"
08X452,Gotham Collaborative High School,Meeting Target,3.36,Proficient,Proficient,Proficient,75%,79%,79%,Meeting Target,3.62,Proficient,86%,80%,81%,Meeting Target,3.52,Well Developed,66%,72%,71%,Approaching Target,0.25,0.75,0.81,2.00,43.3%,3.20,Meeting Target,3.99,90%,84%,85%,Meeting Target,3.78,87%,87%,88%,Exceeding Target,4.20,93%,87%,88%,62%,96%,13%,Sam Decker,"May 8, 2015"
08X530,Longwood Preparatory Academy,Meeting Target,3.58,Proficient,Proficient,Proficient,82%,79%,79%,Exceeding Target,4.50,Well Developed,89%,80%,81%,Meeting Target,3.82,Proficient,74%,72%,71%,Exceeding Target,0.25,0.78,0.87,4.07,48.3%,3.71,Meeting Target,3.78,92%,84%,85%,Exceeding Target,4.44,95%,87%,88%,Exceeding Target,4.29,94%,87%,88%,62%,94%,26%,Asya Johnson,May 2018
08X558,Westchester Square Academy,Approaching Target,2.82,Well Developed,Developing,Developing,70%,79%,79%,Meeting Target,3.05,Proficient,72%,80%,81%,Approaching Target,2.69,Proficient,64%,72%,71%,Meeting Target,0.22,0.68,0.69,3.88,50.1%,1.99,Meeting Target,3.08,75%,84%,85%,Approaching Target,2.34,81%,87%,88%,Approaching Target,2.94,83%,87%,88%,74%,83%,23%,,May-19
08X559,School for Tourism and Hospitality,Approaching Target,2.25,Proficient,Developing,Developing,65%,79%,79%,Approaching Target,2.04,Developing,54%,80%,81%,Approaching Target,2.04,Proficient,57%,72%,71%,Not Meeting Target,0.30,0.92,0.76,1.94,28.2%,1.72,Approaching Target,2.50,49%,84%,85%,Not Meeting Target,1.38,71%,87%,88%,Not Meeting Target,1.71,72%,87%,88%,72%,69%,18%,Avis Terrell,March 2017
08X561,Bronx Compass High School,Not Meeting Target,1.99,Developing,Developing,Developing,66%,79%,79%,Not Meeting Target,1.96,Under Developed,71%,80%,81%,Approaching Target,2.16,Developing,62%,72%,71%,Approaching Target,0.23,0.70,0.68,2.67,44.1%,2.21,Approaching Target,2.56,83%,84%,85%,Approaching Target,2.41,83%,87%,88%,Meeting Target,3.40,88%,87%,88%,86%,68%,18%,BRETT ROER,April 2017
09X227,Bronx Collegiate Academy,Meeting Target,3.69,Proficient,Proficient,Proficient,87%,79%,79%,Exceeding Target,4.74,Well Developed,94%,80%,81%,Exceeding Target,4.42,Well Developed,77%,72%,71%,Exceeding Target,0.21,0.65,0.92,4.60,61.8%,4.46,Exceeding Target,4.23,97%,84%,85%,Exceeding Target,4.23,91%,87%,88%,Exceeding Target,4.49,96%,87%,88%,74%,100%,17%,D White,April 2018
09X231,Eagle Academy for Young Men,Approaching Target,2.54,Proficient,Developing,Developing,71%,79%,79%,Approaching Target,2.42,Proficient,56%,80%,81%,Meeting Target,3.75,Proficient,63%,70%,71%,Approaching Target,0.23,0.71,0.59,2.50,74.5%,4.98,Approaching Target,2.50,63%,83%,85%,Meeting Target,3.64,91%,90%,88%,Approaching Target,2.72,78%,87%,88%,66%,87%,23%,Hector Velazquez,May 2017
09X241,Urban Assembly School for Applied Math and Science,Approaching Target,2.85,Proficient,Proficient,Developing,72%,79%,79%,Meeting Target,3.16,Developing,74%,80%,81%,Meeting Target,3.19,Proficient,69%,70%,71%,Meeting Target,0.28,0.85,0.53,3.38,56.4%,2.73,Meeting Target,3.73,82%,83%,85%,Meeting Target,3.86,93%,90%,88%,Meeting Target,3.85,90%,87%,88%,81%,100%,66%,,January-19
09X250,Eximius College Preparatory Academy: A College Boa,Exceeding Target,4.87,Well Developed,Well Developed,Well Developed,88%,79%,79%,Exceeding Target,4.57,Well Developed,90%,80%,81%,Exceeding Target,4.34,Well Developed,82%,72%,71%,Exceeding Target,0.25,0.76,0.87,4.33,60.6%,3.79,Exceeding Target,4.12,94%,84%,85%,Exceeding Target,4.15,92%,87%,88%,Meeting Target,3.43,89%,87%,88%,95%,100%,43%,Jonathan Daly,"January 15, 2015"
09X252,Mott Hall Bronx High School,Meeting Target,3.13,Proficient,Proficient,Proficient,67%,79%,79%,Meeting Target,3.05,Proficient,73%,80%,81%,Meeting Target,3.41,Well Developed,64%,72%,71%,Exceeding Target,0.23,0.69,0.71,4.13,50.5%,2.81,Meeting Target,3.73,82%,84%,85%,Meeting Target,3.89,89%,87%,88%,Meeting Target,3.45,86%,87%,88%,59%,89%,11%,Kathryn Malloy,October 2017
09X260,Bronx Center for Science and Mathematics,Exceeding Target,4.80,Well Developed,Well Developed,Well Developed,84%,79%,79%,Exceeding Target,4.46,Well Developed,88%,80%,81%,Exceeding Target,4.28,Well Developed,79%,72%,71%,Not Meeting Target,0.24,0.72,0.53,1.83,71.9%,4.34,Meeting Target,3.99,91%,84%,85%,Meeting Target,3.51,86%,87%,88%,Exceeding Target,4.39,95%,87%,88%,89%,97%,42%,Edward Tom,"April 27, 2015"
09X263,Validus Preparatory Academy,Approaching Target,2.65,Proficient,Developing,Developing,75%,79%,79%,Meeting Target,3.38,Proficient,80%,80%,81%,Meeting Target,3.17,Proficient,69%,72%,71%,Exceeding Target,0.27,0.82,0.84,4.00,47.7%,2.78,Meeting Target,3.59,86%,84%,85%,Approaching Target,2.94,84%,87%,88%,Meeting Target,3.76,88%,87%,88%,65%,96%,47%,Christophe Hibbert,March 2017
09X297,Morris Academy for Collaborative Studies,Exceeding Target,4.11,Well Developed,Proficient,Proficient,89%,79%,79%,Exceeding Target,4.72,Well Developed,94%,80%,81%,Exceeding Target,4.22,Proficient,81%,72%,71%,Meeting Target,0.25,0.76,0.84,3.13,60.8%,4.38,Exceeding Target,4.58,98%,84%,85%,Exceeding Target,4.02,91%,87%,88%,Exceeding Target,4.53,95%,87%,88%,87%,100%,36%,Matthew Mazzaroppi,November 2017
09X324,Bronx Early College Academy for Teaching & Learnin,Exceeding Target,4.02,Well Developed,Proficient,Proficient,83%,79%,79%,Exceeding Target,4.08,Proficient,86%,80%,81%,Exceeding Target,4.15,Well Developed,70%,70%,71%,Exceeding Target,0.13,0.38,0.53,4.00,73.6%,4.00,Meeting Target,3.62,88%,83%,85%,Meeting Target,3.87,91%,90%,88%,Meeting Target,3.88,91%,87%,88%,91%,100%,45%,Yvette Rivera,May 2017
09X327,Comprehensive Model School Project M.S. 327,Meeting Target,3.68,Proficient,Proficient,Proficient,85%,79%,79%,Exceeding Target,4.10,Well Developed,85%,80%,81%,Meeting Target,3.75,Well Developed,77%,70%,71%,Approaching Target,0.29,0.90,0.84,2.50,48.7%,1.78,Exceeding Target,4.00,91%,83%,85%,Meeting Target,3.15,87%,90%,88%,Exceeding Target,4.08,92%,87%,88%,81%,81%,55%,,March-19
09X329,DreamYard Preparatory School,Meeting Target,3.72,Proficient,Proficient,Proficient,87%,79%,79%,Exceeding Target,4.22,Well Developed,91%,80%,81%,Meeting Target,3.71,Proficient,73%,72%,71%,Meeting Target,0.23,0.71,0.83,3.88,52.3%,3.44,Meeting Target,3.90,95%,84%,85%,Exceeding Target,4.38,95%,87%,88%,Exceeding Target,4.18,93%,87%,88%,91%,96%,73%,Alicia Wargo,March 2017
09X365,Academy for Language and Technology,Exceeding Target,4.93,Well Developed,Well Developed,Well Developed,94%,79%,79%,Exceeding Target,4.44,Well Developed,86%,80%,81%,Exceeding Target,4.04,Well Developed,95%,72%,71%,Exceeding Target,0.06,0.14,0.89,4.63,64.1%,2.19,Exceeding Target,4.31,94%,84%,85%,Exceeding Target,4.63,96%,87%,88%,Exceeding Target,4.54,96%,87%,88%,97%,100%,100%,Jose Vinales,7-Jan-16
09X403,Bronx International High School,Meeting Target,3.69,Proficient,Proficient,Proficient,87%,79%,79%,Exceeding Target,4.03,Well Developed,87%,80%,81%,Meeting Target,3.37,Well Developed,81%,72%,71%,Approaching Target,0.02,0.03,0.40,2.92,45.1%,1.62,Meeting Target,3.61,88%,84%,85%,Approaching Target,2.74,81%,87%,88%,Meeting Target,3.98,91%,87%,88%,81%,87%,64%,JOAQUIN VEGA VARGAS,May 2018
09X404,School for Excellence,Approaching Target,2.11,Developing,Developing,Developing,71%,79%,79%,Approaching Target,2.49,Developing,75%,80%,81%,Approaching Target,2.57,Developing,65%,72%,71%,Meeting Target,0.22,0.66,1.11,3.25,34.7%,2.26,Approaching Target,2.72,88%,84%,85%,Meeting Target,3.16,86%,87%,88%,Meeting Target,3.41,87%,87%,88%,48%,100%,13%,JEFFREY HOUSTON,March 2017
09X412,Bronx High School of Business,Meeting Target,3.07,Proficient,Developing,Proficient,77%,79%,79%,Meeting Target,3.57,Proficient,83%,80%,81%,Meeting Target,3.61,Proficient,71%,72%,71%,Approaching Target,0.21,0.62,0.82,2.50,57.7%,4.33,Meeting Target,3.61,86%,84%,85%,Meeting Target,3.59,88%,87%,88%,Meeting Target,3.85,90%,87%,88%,90%,78%,51%,Alice Bajana Vega,March 2018
09X413,Bronx High School for Medical Science,Approaching Target,2.73,Proficient,Developing,Developing,80%,79%,79%,Meeting Target,3.50,Developing,90%,80%,81%,Meeting Target,3.67,Proficient,70%,70%,71%,Not Meeting Target,0.20,0.58,0.56,1.00,78.8%,4.56,Meeting Target,3.72,91%,83%,85%,Exceeding Target,4.28,96%,90%,88%,Exceeding Target,4.18,93%,87%,88%,98%,100%,34%,WILLIAM QUINTANA,April 2017
09X505,"Bronx School for Law, Government and Justice",Approaching Target,2.59,Proficient,Developing,Developing,75%,79%,79%,Approaching Target,2.82,Proficient,69%,80%,81%,Meeting Target,3.41,Proficient,64%,70%,71%,Not Meeting Target,0.20,0.60,0.46,1.50,65.2%,3.84,Meeting Target,3.31,79%,83%,85%,Not Meeting Target,1.89,82%,90%,88%,Approaching Target,2.69,82%,87%,88%,85%,79%,66%,Johanie Hernandez,October 2017
09X517,Frederick Douglass Academy III Secondary School,Meeting Target,3.99,Well Developed,Proficient,Proficient,82%,79%,79%,Meeting Target,3.47,Proficient,80%,80%,81%,Meeting Target,3.50,Proficient,78%,72%,71%,Exceeding Target,0.24,0.74,1.08,4.13,39.5%,2.88,Meeting Target,3.54,86%,84%,85%,Meeting Target,3.08,85%,87%,88%,Meeting Target,3.54,89%,87%,88%,79%,100%,86%,JUMEL CARLOS,February 2018
09X525,Bronx Leadership Academy High School,Meeting Target,3.20,Well Developed,Developing,Proficient,71%,79%,79%,Approaching Target,2.85,Proficient,68%,80%,81%,Approaching Target,2.78,Well Developed,58%,72%,71%,Exceeding Target,0.27,0.82,1.05,4.37,40.0%,2.31,Meeting Target,3.16,74%,84%,85%,Meeting Target,3.16,85%,87%,88%,Approaching Target,2.76,81%,87%,88%,44%,85%,13%,IVAN YIP,April 2017
09X543,High School for Violin and Dance,Approaching Target,2.73,Proficient,Developing,Proficient,66%,79%,79%,Approaching Target,2.61,Proficient,64%,80%,81%,Approaching Target,2.90,Proficient,62%,72%,71%,Approaching Target,0.26,0.80,0.85,2.67,41.7%,3.07,Approaching Target,2.93,70%,84%,85%,Approaching Target,2.23,81%,87%,88%,Approaching Target,2.94,81%,87%,88%,55%,100%,34%,Franklin Sim,March 2017
09X564,Claremont International HS,Exceeding Target,4.30,Well Developed,Well Developed,Proficient,83%,79%,79%,Exceeding Target,4.81,Well Developed,96%,80%,81%,Exceeding Target,4.04,Well Developed,81%,72%,71%,Approaching Target,0.03,0.03,0.33,2.08,62.4%,3.29,Exceeding Target,4.44,95%,84%,85%,Exceeding Target,4.11,90%,87%,88%,Exceeding Target,4.42,95%,87%,88%,91%,79%,51%,Elizabeth Demchak,"April 15, 2015"
09X568,Young Women's Leadership School of the Bronx,Meeting Target,3.93,Well Developed,Proficient,Proficient,82%,79%,79%,Exceeding Target,4.20,Well Developed,89%,80%,81%,Meeting Target,3.26,Proficient,68%,70%,71%,Approaching Target,0.17,0.51,0.39,2.33,64.0%,2.09,Exceeding Target,4.36,92%,83%,85%,Approaching Target,2.75,87%,90%,88%,Meeting Target,3.63,89%,87%,88%,93%,98%,80%,,March-19
10X141,Riverdale / Kingsbridge Academy (Middle School / H,Meeting Target,3.39,Proficient,Proficient,Proficient,77%,79%,79%,Meeting Target,3.38,Proficient,80%,80%,81%,Meeting Target,3.48,Well Developed,64%,70%,71%,Not Meeting Target,0.22,0.67,0.57,1.83,79.1%,3.63,Meeting Target,3.30,80%,83%,85%,Meeting Target,3.44,88%,90%,88%,Approaching Target,2.96,83%,87%,88%,91%,90%,27%,LORI OMARA,March 2018
10X213,Bronx Engineering and Technology Academy,Meeting Target,3.11,Proficient,Proficient,Developing,79%,79%,79%,Approaching Target,2.74,Proficient,64%,80%,81%,Approaching Target,2.63,Proficient,61%,72%,71%,Approaching Target,0.24,0.74,0.83,2.58,47.5%,2.48,Approaching Target,2.76,60%,84%,85%,Meeting Target,3.53,88%,87%,88%,Approaching Target,2.43,74%,87%,88%,49%,50%,40%,Karalyne Sperling,March 2017
10X225,Theatre Arts Production Company School,Meeting Target,3.22,Proficient,Proficient,Proficient,73%,79%,79%,Meeting Target,3.54,Proficient,73%,80%,81%,Meeting Target,3.30,Proficient,63%,70%,71%,Approaching Target,0.27,0.83,0.67,2.58,52.8%,2.72,Meeting Target,3.62,79%,83%,85%,Meeting Target,3.22,89%,90%,88%,Meeting Target,3.57,86%,87%,88%,72%,68%,36%,Ron Link,March 2018
10X237,"The Marie Curie School for Medicine, Nursing, and",Meeting Target,3.57,Well Developed,Proficient,Proficient,70%,79%,79%,Meeting Target,3.19,Proficient,75%,80%,81%,Approaching Target,2.97,Well Developed,61%,72%,71%,Meeting Target,0.22,0.67,0.85,3.75,39.4%,1.86,Approaching Target,2.51,74%,84%,85%,Approaching Target,2.42,80%,87%,88%,Approaching Target,2.56,80%,87%,88%,64%,88%,8%,Rodney Fisher,"December 22, 2014"
10X243,West Bronx Academy for the Future,Approaching Target,2.68,Proficient,Developing,Developing,77%,79%,79%,Meeting Target,3.50,Proficient,81%,80%,81%,Meeting Target,3.52,Proficient,64%,70%,71%,Approaching Target,0.25,0.76,0.62,2.58,66.6%,4.55,Meeting Target,3.45,82%,83%,85%,Meeting Target,3.71,92%,90%,88%,Meeting Target,3.65,88%,87%,88%,87%,92%,38%,WILPER MORALES,February 2017
10X264,Bronx Academy for Software Engineering (BASE),Approaching Target,2.97,Proficient,Proficient,Developing,74%,79%,79%,Meeting Target,3.31,Proficient,78%,80%,81%,Meeting Target,3.23,Proficient,71%,72%,71%,Not Meeting Target,0.26,0.81,0.65,1.89,59.3%,3.03,Meeting Target,3.23,75%,84%,85%,Meeting Target,3.02,86%,87%,88%,Exceeding Target,4.03,91%,87%,88%,75%,79%,5%,,May-19
10X268,Kingsbridge International High School,Approaching Target,2.47,Developing,Developing,Developing,82%,79%,79%,Meeting Target,3.01,Developing,90%,80%,81%,Approaching Target,2.73,Developing,74%,72%,71%,Exceeding Target,0.03,0.06,0.88,4.43,54.6%,2.32,Approaching Target,2.91,94%,84%,85%,Meeting Target,3.51,89%,87%,88%,Exceeding Target,4.01,92%,87%,88%,89%,100%,48%,RONALD FOREMAN,March 2017
10X284,Bronx School of Law and Finance,Approaching Target,2.77,Proficient,Developing,Developing,81%,79%,79%,Meeting Target,3.43,Developing,90%,80%,81%,,.,Proficient,69%,72%,71%,Exceeding Target,0.20,0.61,0.95,4.30,39.6%,1.83,Meeting Target,3.89,94%,84%,85%,Approaching Target,2.96,84%,87%,88%,Exceeding Target,4.09,93%,87%,88%,14%,79%,7%,Jessica Goring,May 2017
10X342,International School for Liberal Arts,Approaching Target,2.92,Proficient,Developing,Developing,85%,79%,79%,Exceeding Target,4.01,Proficient,84%,80%,81%,Exceeding Target,4.31,Proficient,81%,70%,71%,Not Meeting Target,0.08,0.22,0.29,1.28,73.2%,4.60,Meeting Target,3.67,89%,83%,85%,Meeting Target,3.57,91%,90%,88%,Meeting Target,3.59,88%,87%,88%,97%,100%,98%,Francine Cruz,January 2018
10X351,Bronx Collaborative High School,Meeting Target,3.50,Proficient,Proficient,Proficient,80%,79%,79%,Meeting Target,3.16,Proficient,74%,80%,81%,Meeting Target,3.07,Well Developed,69%,72%,71%,Approaching Target,0.22,0.65,0.72,2.75,34.1%,1.14,Meeting Target,3.51,76%,84%,85%,Exceeding Target,4.11,91%,87%,88%,Meeting Target,3.53,85%,87%,88%,51%,91%,17%,Brett Schneider,October 2016
10X353,World View High School,Meeting Target,3.65,Proficient,Proficient,Proficient,85%,79%,79%,Exceeding Target,4.57,Well Developed,90%,80%,81%,,.,Well Developed,84%,72%,71%,Exceeding Target,0.17,0.52,0.83,4.13,71.2%,4.28,Exceeding Target,4.59,91%,84%,85%,Exceeding Target,4.24,92%,87%,88%,Meeting Target,3.99,92%,87%,88%,25%,83%,21%,,November-18
10X368,In-Tech Academy (M.S. / High School 368),Meeting Target,3.92,Well Developed,Proficient,Proficient,81%,79%,79%,Meeting Target,3.36,Proficient,78%,80%,81%,Meeting Target,3.87,Well Developed,69%,70%,71%,Approaching Target,0.24,0.74,0.52,2.92,73.0%,4.28,Meeting Target,3.40,80%,83%,85%,Meeting Target,3.23,87%,90%,88%,Meeting Target,3.16,84%,87%,88%,95%,79%,40%,Stephen Seltzer,June 2018
10X374,Knowledge and Power Preparatory Academy Internatio,Exceeding Target,4.38,Well Developed,Proficient,Well Developed,85%,79%,79%,Exceeding Target,4.40,Well Developed,86%,80%,81%,Meeting Target,3.95,Well Developed,78%,72%,71%,Exceeding Target,0.25,0.77,0.87,4.00,55.2%,2.88,Meeting Target,3.68,87%,84%,85%,Exceeding Target,4.27,92%,87%,88%,Exceeding Target,4.05,93%,87%,88%,91%,95%,56%,Panorea Panagiosoulis,22-Apr-15
10X433,High School for Teaching and the Professions,Meeting Target,3.59,Proficient,Proficient,Proficient,82%,79%,79%,Meeting Target,3.75,Proficient,90%,80%,81%,Meeting Target,3.54,Proficient,69%,72%,71%,Meeting Target,0.21,0.62,0.67,3.13,51.9%,3.43,Meeting Target,3.82,94%,84%,85%,Meeting Target,3.56,87%,87%,88%,Meeting Target,3.99,92%,87%,88%,73%,100%,37%,"Hernandez, Roberto",March 2017
10X434,Belmont Preparatory High School,Meeting Target,3.60,Proficient,Proficient,Proficient,84%,79%,79%,Meeting Target,3.38,Developing,90%,80%,81%,Meeting Target,3.85,Proficient,74%,72%,71%,Meeting Target,0.22,0.68,0.83,3.63,71.3%,4.52,Meeting Target,3.74,92%,84%,85%,Meeting Target,3.27,85%,87%,88%,Meeting Target,3.98,92%,87%,88%,87%,68%,36%,STEPHEN GUMBS,January 2018
