DBN,School Name,School Type,Student Achievement - Section Rating,Student Achievement - Section Score,Metric Rating - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,N count - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Percent of Enrollment - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Population Percent of Range - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Metric Value - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Approaching Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Meeting Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Exceeding Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Metric Score - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,"Metric Rating - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","N count - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Percent of Enrollment - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Population Percent of Range - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Metric Value - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Approaching Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Meeting Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Exceeding Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Metric Score - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS",Metric Rating - 4-Year Graduation Rate - English Language Learners,N count - 4-Year Graduation Rate - English Language Learners,Percent of Enrollment - 4-Year Graduation Rate - English Language Learners,Population Percent of Range - 4-Year Graduation Rate - English Language Learners,Metric Value - 4-Year Graduation Rate - English Language Learners,Approaching Target For 2019 - 4-Year Graduation Rate - English Language Learners,Meeting Target For 2019 - 4-Year Graduation Rate - English Language Learners,Exceeding Target For 2019 - 4-Year Graduation Rate - English Language Learners,Metric Score - 4-Year Graduation Rate - English Language Learners,Metric Rating - 4-Year Graduation Rate - Lowest Third Citywide,N count - 4-Year Graduation Rate - Lowest Third Citywide,Percent of Enrollment - 4-Year Graduation Rate - Lowest Third Citywide,Population Percent of Range - 4-Year Graduation Rate - Lowest Third Citywide,Metric Value - 4-Year Graduation Rate - Lowest Third Citywide,Approaching Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Meeting Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Exceeding Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Metric Score - 4-Year Graduation Rate - Lowest Third Citywide,"Metric Rating - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","N count - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Percent of Enrollment - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Population Percent of Range - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Value - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Approaching Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Meeting Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Exceeding Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Score - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Rating - College and Career Preparatory Course Index, Lowest Third Citywide","N count - College and Career Preparatory Course Index, Lowest Third Citywide","Percent of Enrollment - College and Career Preparatory Course Index, Lowest Third Citywide","Population Percent of Range - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Value - College and Career Preparatory Course Index, Lowest Third Citywide","Approaching Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Meeting Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Exceeding Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Score - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Rating - 4-Year College Readiness Index, Lowest Third Citywide","N count - 4-Year College Readiness Index, Lowest Third Citywide","Percent of Enrollment - 4-Year College Readiness Index, Lowest Third Citywide","Population Percent of Range - 4-Year College Readiness Index, Lowest Third Citywide","Metric Value - 4-Year College Readiness Index, Lowest Third Citywide","Approaching Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Meeting Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Exceeding Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Metric Score - 4-Year College Readiness Index, Lowest Third Citywide",Metric Rating - College Persistence,N count - College Persistence,Metric Value - College Persistence,Approaching Target For 2019 - College Persistence,Meeting Target For 2019 - College Persistence,Exceeding Target For 2019 - College Persistence,Metric Score - College Persistence
07X473,Mott Haven Village Preparatory High School,High School,Approaching Target,2.42,Approaching Target,24,30.4%,68.6%,33.3%,26.5%,43.9%,57.2%,2.39,Not Meeting Target,25,31.6%,80.2%,28.0%,37.2%,52.0%,63.4%,1.47,Not Meeting Target,23,29.1%,48.7%,39.1%,40.1%,57.7%,67.5%,1.91,Approaching Target,47,59.5%,79.3%,38.3%,36.4%,51.8%,60.7%,2.12,Approaching Target,54,56.3%,75.3%,16.7%,16.5%,25.4%,33.9%,2.02,Not Meeting Target,47,59.5%,79.3%,4.3%,5.0%,10.0%,15.0%,1.86,Meeting Target,47,59.5%,79.3%,10.6%,4.8%,9.7%,12.9%,3.28,Approaching Target,97,32.0%,25.8%,33.8%,40.6%,2.78
07X495,University Heights Secondary School,High School,Exceeding Target,4.72,,7,6.7%,15.1%,85.7%,50.7%,68.1%,81.4%,.,Exceeding Target,18,17.1%,43.4%,100.0%,61.9%,75.1%,85.3%,4.99,,4,3.8%,6.4%,N<10,61.3%,77.1%,85.9%,.,,13,12.4%,16.5%,92.3%,56.7%,72.1%,81.0%,.,,7,6.8%,9.1%,85.7%,32.7%,43.7%,54.2%,.,,13,12.4%,16.5%,92.3%,5.0%,15.0%,25.5%,.,,13,12.4%,16.5%,92.3%,12.3%,24.8%,32.7%,.,Meeting Target,121,72.0%,58.4%,66.4%,73.2%,3.82
07X500,Hostos-Lincoln Academy of Science,High School,Meeting Target,3.71,,10,10.8%,24.4%,80.0%,49.5%,66.9%,80.2%,.,Not Meeting Target,11,11.8%,29.9%,54.5%,55.0%,69.8%,81.2%,1.97,,10,10.8%,18.1%,50.0%,62.4%,77.8%,86.3%,.,Approaching Target,19,20.4%,27.2%,63.2%,58.8%,73.7%,82.3%,2.30,Approaching Target,18,22.8%,30.5%,44.4%,34.4%,45.4%,55.9%,2.91,Exceeding Target,19,20.4%,27.2%,52.6%,5.0%,12.9%,22.0%,4.99,Exceeding Target,19,20.4%,27.2%,31.6%,11.6%,23.4%,30.8%,4.05,Approaching Target,86,61.6%,54.4%,62.4%,69.2%,2.90
07X522,Bronx Design and Construction Academy,High School,Approaching Target,2.37,Meeting Target,44,44.9%,100.0%,54.5%,35.2%,52.6%,65.9%,3.14,Meeting Target,29,29.6%,75.1%,51.7%,35.8%,50.6%,62.0%,3.10,Approaching Target,23,23.5%,39.4%,60.9%,48.1%,65.7%,75.5%,2.73,Approaching Target,55,56.1%,74.8%,54.5%,43.2%,58.6%,67.5%,2.73,Not Meeting Target,58,47.9%,64.0%,13.8%,18.8%,28.8%,38.5%,1.73,Exceeding Target,55,56.1%,74.8%,21.8%,5.0%,10.0%,15.8%,4.52,Approaching Target,55,56.1%,74.8%,12.7%,6.9%,14.0%,18.5%,2.82,Not Meeting Target,135,25.2%,30.8%,38.8%,45.6%,1.47
07X527,Bronx Leadership Academy II High School,High School,Meeting Target,3.68,Exceeding Target,41,31.1%,70.2%,70.7%,36.2%,53.6%,66.9%,4.21,Meeting Target,41,31.1%,78.9%,70.7%,44.7%,59.5%,70.9%,3.98,Meeting Target,25,18.9%,31.7%,72.0%,51.4%,69.0%,78.8%,3.31,Exceeding Target,72,54.5%,72.7%,70.8%,46.3%,61.7%,70.6%,4.01,Exceeding Target,83,61.5%,82.2%,48.2%,19.5%,30.0%,40.0%,4.50,Meeting Target,72,54.5%,72.7%,15.3%,5.0%,10.9%,18.5%,3.58,Exceeding Target,72,54.5%,72.7%,26.4%,8.1%,16.4%,21.6%,4.42,Exceeding Target,124,49.1%,28.7%,36.7%,43.5%,4.47
07X548,Careers in Sports High School,High School,Approaching Target,2.30,Approaching Target,55,40.1%,90.5%,47.3%,37.5%,54.9%,68.2%,2.56,Not Meeting Target,28,20.4%,51.8%,46.4%,48.5%,63.3%,74.7%,1.88,Not Meeting Target,36,26.3%,44.1%,47.2%,47.9%,65.5%,75.3%,1.94,Approaching Target,67,48.9%,65.2%,46.3%,45.2%,60.6%,69.5%,2.07,Approaching Target,58,41.7%,55.7%,22.4%,16.6%,25.5%,34.1%,2.65,Approaching Target,67,48.9%,65.2%,6.0%,5.0%,10.0%,15.0%,2.20,Approaching Target,67,48.9%,65.2%,10.4%,7.9%,15.9%,21.0%,2.31,Meeting Target,136,42.3%,34.1%,42.1%,48.9%,3.03
07X551,The Urban Assembly Bronx Academy of Letters,High School,Meeting Target,3.95,Exceeding Target,23,28.8%,65.0%,82.6%,41.4%,58.8%,72.1%,4.57,Exceeding Target,24,30.0%,76.1%,87.5%,39.4%,54.2%,65.6%,4.99,,11,13.8%,23.1%,90.9%,46.7%,64.3%,74.1%,.,Exceeding Target,50,62.5%,83.3%,88.0%,50.9%,66.3%,75.2%,4.70,Exceeding Target,52,61.9%,82.8%,55.8%,29.6%,40.6%,51.1%,4.27,Meeting Target,50,62.5%,83.3%,13.0%,5.0%,10.0%,15.0%,3.60,Meeting Target,50,62.5%,83.3%,20.0%,8.9%,17.9%,23.6%,3.37,Exceeding Target,73,61.6%,28.5%,36.5%,43.3%,4.99
07X600,Alfred E. Smith Career and Technical Education Hig,High School,Meeting Target,3.89,Exceeding Target,58,56.3%,100.0%,84.5%,46.9%,64.3%,77.6%,4.37,Exceeding Target,32,31.1%,78.9%,84.4%,50.6%,65.4%,76.8%,4.46,Exceeding Target,32,31.1%,52.1%,90.6%,55.0%,72.6%,82.4%,4.52,Exceeding Target,67,65.0%,86.7%,85.1%,56.3%,71.7%,80.6%,4.25,Exceeding Target,57,64.0%,85.6%,43.9%,19.9%,30.5%,40.8%,4.19,Exceeding Target,67,65.0%,86.7%,47.8%,5.0%,10.0%,16.6%,4.99,Meeting Target,67,65.0%,86.7%,22.4%,9.3%,18.9%,24.9%,3.58,Approaching Target,79,32.1%,29.7%,37.7%,44.5%,2.30
07X670,Health Opportunities High School,High School,Approaching Target,2.64,Approaching Target,42,25.1%,56.7%,35.7%,31.4%,48.8%,62.1%,2.25,Approaching Target,37,22.2%,56.3%,40.5%,34.9%,49.7%,61.1%,2.38,Not Meeting Target,34,20.4%,34.2%,35.3%,45.6%,63.2%,73.0%,1.10,Approaching Target,89,53.3%,71.1%,41.6%,39.5%,54.9%,63.8%,2.14,Approaching Target,79,53.7%,71.8%,21.5%,17.5%,26.9%,35.9%,2.43,Approaching Target,89,53.3%,71.1%,5.6%,5.0%,10.0%,15.0%,2.12,Meeting Target,89,53.3%,71.1%,15.7%,7.4%,15.0%,19.8%,3.15,Meeting Target,142,37.3%,22.9%,30.9%,37.7%,3.94
08X269,Bronx Studio School for Writers and Artists,High School,Approaching Target,2.99,Meeting Target,17,18.9%,42.7%,70.6%,44.4%,61.8%,75.1%,3.66,Approaching Target,24,26.7%,67.8%,54.2%,44.1%,58.9%,70.3%,2.68,Approaching Target,14,15.6%,26.1%,57.1%,49.0%,66.6%,76.4%,2.46,Approaching Target,44,48.9%,65.2%,61.4%,52.8%,68.2%,77.1%,2.56,Exceeding Target,31,41.9%,56.0%,54.8%,32.9%,43.9%,54.4%,4.02,Approaching Target,44,48.9%,65.2%,9.1%,5.0%,10.8%,18.4%,2.71,Approaching Target,44,48.9%,65.2%,18.2%,9.7%,19.7%,26.0%,2.85,Meeting Target,75,49.3%,40.4%,48.4%,55.2%,3.13
08X282,Women's Academy of Excellence,High School,Approaching Target,2.81,,.,0.0%,0.0%,N<5,35.4%,52.8%,66.1%,.,Not Meeting Target,10,15.6%,39.6%,30.0%,45.4%,60.2%,71.6%,1.11,Exceeding Target,17,26.6%,44.6%,76.5%,47.1%,64.7%,74.5%,4.13,Not Meeting Target,27,42.2%,56.3%,37.0%,43.2%,58.6%,67.5%,1.65,Meeting Target,29,48.3%,64.6%,34.5%,23.0%,34.0%,44.5%,3.05,Approaching Target,27,42.2%,56.3%,7.4%,5.0%,10.0%,15.0%,2.48,Approaching Target,27,42.2%,56.3%,14.8%,7.7%,15.5%,20.5%,2.91,Meeting Target,69,39.1%,29.6%,37.6%,44.4%,3.22
08X293,Renaissance High School for Musical Theater and th,High School,Meeting Target,3.30,Meeting Target,23,19.2%,43.3%,73.9%,45.0%,62.4%,75.7%,3.86,Approaching Target,36,30.0%,76.1%,66.7%,52.5%,67.3%,78.7%,2.96,,6,5.0%,8.4%,N<10,47.1%,64.7%,74.5%,.,Meeting Target,62,51.7%,68.9%,71.0%,51.2%,66.6%,75.5%,3.49,Approaching Target,55,48.7%,65.1%,30.9%,23.9%,34.9%,45.4%,2.64,Approaching Target,62,51.7%,68.9%,7.3%,5.0%,10.0%,16.9%,2.46,Approaching Target,62,51.7%,68.9%,11.3%,6.5%,13.1%,17.3%,2.73,Meeting Target,90,38.9%,30.5%,38.5%,45.3%,3.06
08X312,Millennium Art Academy,High School,Meeting Target,3.05,Meeting Target,26,25.2%,56.9%,61.5%,41.0%,58.4%,71.7%,3.23,Meeting Target,31,30.1%,76.4%,67.7%,49.6%,64.4%,75.8%,3.29,,14,13.6%,22.8%,57.1%,43.9%,61.5%,71.3%,.,Approaching Target,46,44.7%,59.6%,54.3%,47.1%,62.5%,71.4%,2.47,Approaching Target,48,45.3%,60.6%,35.4%,25.1%,36.1%,46.6%,2.94,Approaching Target,46,44.7%,59.6%,9.8%,5.0%,10.3%,17.5%,2.91,Approaching Target,46,44.7%,59.6%,8.7%,7.0%,14.2%,18.8%,2.24,Exceeding Target,111,44.9%,29.9%,37.9%,44.7%,4.02
08X320,Pelham Lab High School,High School,Approaching Target,2.70,Meeting Target,27,24.5%,55.3%,51.9%,31.1%,48.5%,61.8%,3.26,Approaching Target,33,30.0%,76.1%,51.5%,40.9%,55.7%,67.1%,2.72,Meeting Target,18,16.4%,27.5%,61.1%,41.4%,59.0%,68.8%,3.21,Approaching Target,61,55.5%,74.0%,54.1%,39.5%,54.9%,63.8%,2.95,Approaching Target,50,45.9%,61.4%,32.0%,26.2%,37.2%,47.7%,2.53,Not Meeting Target,61,55.5%,74.0%,4.9%,5.0%,10.0%,15.0%,1.98,Approaching Target,61,55.5%,74.0%,11.5%,5.9%,11.9%,15.7%,2.93,Approaching Target,112,35.2%,31.0%,39.0%,45.8%,2.53
08X348,Schuylerville Preparatory High School,High School,Approaching Target,2.51,Approaching Target,26,26.5%,59.8%,46.2%,42.4%,59.8%,73.1%,2.22,Not Meeting Target,26,26.5%,67.3%,42.3%,45.6%,60.4%,71.8%,1.81,,14,14.3%,24.0%,50.0%,46.0%,63.6%,73.4%,.,Not Meeting Target,43,43.9%,58.5%,39.5%,50.0%,65.4%,74.3%,1.41,Approaching Target,44,44.4%,59.4%,38.6%,31.7%,42.7%,53.2%,2.63,Not Meeting Target,43,43.9%,58.5%,1.2%,5.0%,12.6%,21.5%,1.24,Not Meeting Target,43,43.9%,58.5%,2.3%,10.0%,20.2%,26.6%,1.23,Approaching Target,69,39.1%,37.1%,45.1%,51.9%,2.25
08X349,Bronx River High School,High School,Meeting Target,3.41,Exceeding Target,16,16.8%,37.9%,68.8%,33.7%,51.1%,64.4%,4.24,Meeting Target,20,21.1%,53.6%,65.0%,41.7%,56.5%,67.9%,3.75,Approaching Target,24,25.3%,42.4%,58.3%,47.0%,64.6%,74.4%,2.64,Exceeding Target,46,48.4%,64.5%,69.6%,42.2%,57.6%,66.5%,4.17,Exceeding Target,59,56.2%,75.1%,52.5%,26.5%,37.5%,48.0%,4.26,Not Meeting Target,46,48.4%,64.5%,4.3%,5.0%,10.0%,15.4%,1.86,Exceeding Target,46,48.4%,64.5%,23.9%,7.7%,15.5%,20.5%,4.32,Meeting Target,92,43.5%,30.6%,38.6%,45.4%,3.72
08X367,"Archimedes Academy for Math, Science and Technolog",High School,Meeting Target,3.08,Approaching Target,33,35.1%,79.2%,39.4%,37.9%,55.3%,68.6%,2.09,Approaching Target,27,28.7%,72.8%,55.6%,44.8%,59.6%,71.0%,2.73,,6,6.4%,10.7%,N<10,45.9%,63.5%,73.3%,.,Not Meeting Target,43,45.7%,60.9%,37.2%,47.1%,62.5%,71.4%,1.44,Not Meeting Target,38,47.5%,63.5%,18.4%,24.2%,35.2%,45.7%,1.72,Meeting Target,43,45.7%,60.9%,11.6%,5.0%,10.0%,16.1%,3.26,Approaching Target,43,45.7%,60.9%,16.3%,8.2%,16.6%,21.9%,2.96,Not Meeting Target,95,28.4%,32.4%,40.4%,47.2%,1.62
08X376,Antonia Pantoja Preparatory Academy: A College Boa,High School,Meeting Target,3.28,Not Meeting Target,14,23.0%,51.9%,35.7%,36.7%,54.1%,67.4%,1.93,Approaching Target,15,24.6%,62.4%,53.3%,46.7%,61.5%,72.9%,2.45,Approaching Target,14,23.0%,38.5%,57.1%,47.3%,64.9%,74.7%,2.56,Approaching Target,32,52.5%,70.0%,46.9%,45.6%,61.0%,69.9%,2.08,Approaching Target,33,60.0%,80.2%,21.2%,19.1%,29.4%,39.2%,2.20,Approaching Target,32,52.5%,70.0%,6.3%,5.0%,10.0%,15.0%,2.26,Approaching Target,32,52.5%,70.0%,12.5%,7.5%,15.2%,20.1%,2.65,Meeting Target,57,33.3%,23.2%,31.2%,38.0%,3.31
08X405,Herbert H. Lehman High School,High School,Approaching Target,2.28,Not Meeting Target,46,25.3%,57.1%,34.8%,42.5%,59.9%,73.2%,1.46,Not Meeting Target,45,24.7%,62.7%,40.0%,40.7%,55.5%,66.9%,1.96,Approaching Target,29,15.9%,26.6%,62.1%,48.1%,65.7%,75.5%,2.80,Approaching Target,89,48.9%,65.2%,49.4%,48.4%,63.8%,72.7%,2.06,Not Meeting Target,91,49.5%,66.2%,15.4%,22.6%,33.6%,44.1%,1.65,Meeting Target,89,48.9%,65.2%,12.4%,5.0%,10.9%,18.6%,3.19,Meeting Target,89,48.9%,65.2%,18.0%,8.4%,17.0%,22.4%,3.19,Approaching Target,244,41.0%,36.5%,44.5%,51.3%,2.56
08X432,Bronx Bridges High School,High School,Meeting Target,3.49,Exceeding Target,25,26.3%,59.4%,44.0%,20.0%,30.0%,40.2%,4.23,Meeting Target,11,11.6%,29.4%,45.5%,22.9%,37.7%,49.1%,3.68,Exceeding Target,87,91.6%,100.0%,75.9%,45.3%,62.9%,72.7%,4.20,Meeting Target,38,40.0%,53.3%,50.0%,30.0%,45.4%,54.3%,3.52,Meeting Target,39,46.4%,62.0%,35.9%,18.3%,28.2%,37.6%,3.82,Approaching Target,38,40.0%,53.3%,9.2%,5.0%,14.9%,25.3%,2.42,Approaching Target,38,40.0%,53.3%,13.2%,7.1%,14.3%,18.9%,2.85,Not Meeting Target,74,25.7%,30.5%,38.5%,45.3%,1.54
08X452,Gotham Collaborative High School,High School,Approaching Target,2.69,Meeting Target,55,34.4%,77.7%,41.8%,24.1%,41.5%,54.8%,3.02,Approaching Target,49,30.6%,77.7%,42.9%,36.1%,50.9%,62.3%,2.46,Meeting Target,32,20.0%,33.5%,53.1%,31.5%,49.1%,58.9%,3.41,Approaching Target,94,58.8%,78.4%,43.6%,34.2%,49.6%,58.5%,2.61,Approaching Target,89,60.1%,80.3%,18.0%,17.0%,26.1%,34.8%,2.11,Approaching Target,94,58.8%,78.4%,9.6%,5.0%,10.0%,15.0%,2.92,Approaching Target,94,58.8%,78.4%,6.4%,4.4%,8.9%,11.8%,2.44,Approaching Target,64,21.9%,19.9%,27.9%,34.7%,2.25
08X530,Longwood Preparatory Academy,High School,Meeting Target,3.51,Exceeding Target,31,40.8%,92.1%,58.1%,26.4%,43.8%,57.1%,4.05,Meeting Target,18,23.7%,60.2%,50.0%,33.9%,48.7%,60.1%,3.11,,10,13.2%,22.1%,40.0%,32.8%,50.4%,60.2%,.,Exceeding Target,54,71.1%,94.8%,63.0%,37.0%,52.4%,61.3%,4.09,Exceeding Target,36,75.0%,100.0%,30.6%,13.9%,21.4%,28.5%,4.18,Exceeding Target,54,71.1%,94.8%,15.7%,5.0%,10.0%,15.0%,4.70,Exceeding Target,54,71.1%,94.8%,18.5%,5.6%,11.3%,15.0%,4.45,Meeting Target,52,25.0%,14.3%,22.3%,29.1%,3.40
08X558,Westchester Square Academy,High School,Approaching Target,2.99,Meeting Target,27,18.1%,40.9%,59.3%,38.4%,55.8%,69.1%,3.26,Approaching Target,32,21.5%,54.6%,50.0%,47.3%,62.1%,73.5%,2.18,Approaching Target,25,16.8%,28.1%,60.0%,44.8%,62.4%,72.2%,2.86,Approaching Target,54,36.2%,48.3%,53.7%,45.9%,61.3%,70.2%,2.51,Meeting Target,50,29.4%,39.3%,38.0%,20.4%,31.4%,41.9%,3.63,Exceeding Target,54,36.2%,48.3%,24.1%,5.0%,10.8%,18.4%,4.43,Meeting Target,54,36.2%,48.3%,18.5%,7.9%,15.9%,21.0%,3.51,Meeting Target,150,44.0%,32.3%,40.3%,47.1%,3.54
08X559,School for Tourism and Hospitality,High School,Not Meeting Target,1.86,Not Meeting Target,33,31.4%,70.9%,24.2%,24.9%,42.3%,55.6%,1.95,Not Meeting Target,34,32.4%,82.2%,20.6%,39.4%,54.2%,65.6%,1.00,Not Meeting Target,35,33.3%,55.8%,14.3%,33.0%,50.6%,60.4%,1.00,Not Meeting Target,65,61.9%,82.5%,20.0%,33.2%,48.6%,57.5%,1.26,Not Meeting Target,52,55.3%,73.9%,13.5%,15.6%,24.0%,32.1%,1.87,Not Meeting Target,65,61.9%,82.5%,3.1%,5.0%,10.0%,15.0%,1.62,Not Meeting Target,65,61.9%,82.5%,3.1%,4.5%,9.0%,11.9%,1.69,Approaching Target,73,31.5%,24.4%,32.4%,39.2%,2.89
08X561,Bronx Compass High School,High School,Approaching Target,2.69,Meeting Target,32,31.7%,71.6%,56.3%,32.3%,49.7%,63.0%,3.50,Meeting Target,24,23.8%,60.4%,58.3%,40.5%,55.3%,66.7%,3.26,,11,10.9%,18.3%,63.6%,39.6%,57.2%,67.0%,.,Meeting Target,42,41.6%,55.5%,57.1%,41.5%,56.9%,65.8%,3.02,Approaching Target,61,51.7%,69.1%,31.1%,21.3%,32.3%,42.8%,2.89,Approaching Target,42,41.6%,55.5%,6.0%,5.0%,10.0%,15.7%,2.20,Meeting Target,42,41.6%,55.5%,16.7%,6.4%,13.0%,17.2%,3.88,Not Meeting Target,106,24.5%,25.6%,33.6%,40.4%,1.90
09X227,Bronx Collegiate Academy,High School,Meeting Target,3.16,Approaching Target,24,23.8%,53.7%,54.2%,46.7%,64.1%,77.4%,2.43,Meeting Target,22,21.8%,55.3%,63.6%,42.3%,57.1%,68.5%,3.57,Meeting Target,28,27.7%,46.4%,71.4%,53.6%,71.2%,81.0%,3.02,Approaching Target,44,43.6%,58.1%,68.2%,55.1%,70.5%,79.4%,2.85,Meeting Target,55,60.4%,80.7%,41.8%,30.5%,41.5%,52.0%,3.03,Not Meeting Target,44,43.6%,58.1%,4.5%,5.0%,11.3%,19.2%,1.90,Exceeding Target,44,43.6%,58.1%,29.5%,10.2%,20.7%,27.3%,4.15,Meeting Target,96,39.6%,26.5%,34.5%,41.3%,3.75
09X231,Eagle Academy for Young Men,High School,Meeting Target,3.27,Approaching Target,37,56.1%,100.0%,54.1%,45.2%,62.6%,75.9%,2.51,Approaching Target,15,22.7%,57.6%,60.0%,46.4%,61.2%,72.6%,2.92,,2,3.0%,5.0%,N<10,47.7%,65.3%,75.1%,.,Approaching Target,37,56.1%,74.8%,54.1%,53.2%,68.6%,77.5%,2.06,Meeting Target,44,53.7%,71.8%,38.6%,22.5%,33.5%,44.0%,3.49,Meeting Target,37,56.1%,74.8%,17.6%,5.0%,11.4%,19.4%,3.78,Approaching Target,37,56.1%,74.8%,13.5%,9.5%,19.3%,25.5%,2.41,Exceeding Target,73,50.7%,28.4%,36.4%,43.2%,4.63
09X241,Urban Assembly School for Applied Math and Science,High School,Meeting Target,3.44,Approaching Target,28,34.1%,77.0%,50.0%,49.2%,66.6%,79.9%,2.05,Approaching Target,26,31.7%,80.5%,57.7%,56.4%,71.2%,82.6%,2.09,,8,9.8%,16.4%,N<10,55.6%,73.2%,83.0%,.,Not Meeting Target,50,61.0%,81.3%,58.0%,58.1%,73.3%,82.0%,1.99,Exceeding Target,50,53.2%,71.1%,76.0%,35.7%,46.7%,57.2%,4.99,Meeting Target,50,61.0%,81.3%,20.0%,5.0%,14.1%,24.0%,3.60,Exceeding Target,50,61.0%,81.3%,32.0%,11.1%,22.4%,29.5%,4.16,Exceeding Target,95,70.9%,44.6%,52.6%,59.4%,4.97
09X250,Eximius College Preparatory Academy: A College Boa,High School,Meeting Target,3.79,Exceeding Target,32,27.8%,62.8%,75.0%,41.7%,59.1%,72.4%,4.14,Approaching Target,35,30.4%,77.2%,57.1%,46.1%,60.9%,72.3%,2.74,,17,14.8%,24.8%,82.4%,52.2%,69.8%,79.6%,.,Meeting Target,54,47.0%,62.7%,72.2%,50.8%,66.2%,75.1%,3.67,Meeting Target,47,46.1%,61.6%,46.8%,27.4%,38.4%,48.9%,3.80,Approaching Target,54,47.0%,62.7%,9.3%,5.0%,10.7%,18.3%,2.75,Approaching Target,54,47.0%,62.7%,14.8%,9.1%,18.3%,24.1%,2.62,Meeting Target,105,47.6%,34.7%,42.7%,49.5%,3.72
09X252,Mott Hall Bronx High School,High School,Meeting Target,3.70,Approaching Target,18,17.6%,39.7%,55.6%,45.5%,62.9%,76.2%,2.58,Approaching Target,18,17.6%,44.7%,44.4%,43.6%,58.4%,69.8%,2.05,,15,14.7%,24.6%,80.0%,57.9%,75.1%,84.6%,.,Approaching Target,42,41.2%,54.9%,64.3%,53.6%,69.0%,77.9%,2.69,Exceeding Target,37,36.3%,48.5%,54.1%,21.4%,32.4%,42.9%,4.65,Exceeding Target,42,41.2%,54.9%,21.4%,5.0%,11.2%,19.1%,4.17,Approaching Target,42,41.2%,54.9%,21.4%,11.0%,22.2%,29.3%,2.93,Exceeding Target,104,54.8%,30.7%,38.7%,45.5%,4.78
09X260,Bronx Center for Science and Mathematics,High School,Exceeding Target,4.24,Meeting Target,14,12.6%,28.4%,64.3%,37.0%,54.4%,67.7%,3.74,Approaching Target,28,25.2%,64.0%,71.4%,58.7%,73.1%,84.1%,2.88,,12,10.8%,18.1%,58.3%,48.4%,66.0%,75.8%,.,Meeting Target,23,20.7%,27.6%,60.9%,43.1%,58.5%,67.4%,3.27,Exceeding Target,24,21.2%,28.3%,50.0%,19.7%,30.3%,40.5%,4.58,Approaching Target,23,20.7%,27.6%,6.5%,5.0%,10.0%,15.1%,2.30,Exceeding Target,23,20.7%,27.6%,21.7%,7.0%,14.1%,18.6%,4.32,Exceeding Target,113,72.6%,48.5%,56.5%,63.3%,4.78
